username,business_category_name,follower_count,following_count,is_verified,is_private,highlight_reel_count,external_url,media_count,likes_average_count,comments_average_count
heshan_photos,Creators & Celebrities,104,134,False,False,0,,9,29.88888888888889,1.0
unbluve,,1215,3107,False,True,0,http://tellonym.me/unbluve,0,0,0
cerealnium,,1669,1406,False,True,0,https://youtu.be/qcM3QaFVOV0,30,0,0
30kpc,,400,556,False,False,0,https://vsco.co/30kpc,1434,48.083333333333336,2.9166666666666665
shopmilee,Personal Goods & General Merchandise Stores,2718,6903,False,False,14,,420,85.5,3.5
josiahlewispix,Creators & Celebrities,317,1775,False,False,0,http://josiahlewisimages.com/,110,43.333333333333336,1.6666666666666667
aldanayouthhh,,43,237,False,True,0,,0,0,0
rrovelo,,183,324,False,True,0,,31,0,0
dannysabra,,301,1305,False,True,0,https://bit.ly/2Bh4oUS,416,0,0
andrexplorer,Creators & Celebrities,1179,1393,False,False,0,,70,298.8333333333333,13.75
cnbtravels,Creators & Celebrities,10112,7501,False,False,0,,340,1478.25,40.083333333333336
_lunalite_,Home Goods Stores,958,71,False,False,0,https://bit.ly/2xNgi79,6,202.66666666666666,2.6666666666666665
ben_permanentvacation,,1065,826,False,False,0,,548,127.25,6.083333333333333
mroslan_ramli,,255,169,False,True,0,,174,0,0
photos__mi,,64,95,False,False,0,,9,40.0,8.666666666666666
aha_153234,,198,375,False,True,0,,289,0,0
girldmaupassant_,,35,703,False,False,0,,20,1.6666666666666667,0.0
lightcreators,General Interest,6513,2799,False,False,0,,97,933.1666666666666,20.416666666666668
superior_photographer5,Creators & Celebrities,507,3663,False,False,0,,13,112.08333333333333,2.75
santosaerol,,468,632,False,False,2,,76,35.833333333333336,1.9166666666666667
whoischelsea,Local Events,62074,860,False,False,2,https://youtu.be/bi93flIrrPs,381,3173.9166666666665,42.25
alexinanaeroplane,,39,158,False,False,0,,18,15.666666666666666,1.0
motzba,Creators & Celebrities,764,379,False,False,0,,30,271.5,34.416666666666664
dramaloco,,1224,2088,False,False,0,,3820,79.16666666666667,4.833333333333333
roberto.goni,,167,276,False,False,2,http://robertogoni.com/,423,17.5,0.6666666666666666
ultraplaces,,3349,3486,False,False,0,,9,1093.6666666666667,30.11111111111111
amphotographer_,Creators & Celebrities,1457,6689,False,False,1,,41,70.75,1.6666666666666667
greentravellerzafran,Business & Utility Services,1304,2990,False,False,0,http://www.creativestory.it/,63,260.9166666666667,6.333333333333333
misato.niwa,,1126,961,False,True,0,,75,0,0
mattia.d.l.ph,Creators & Celebrities,4307,6883,False,False,9,https://swite.com/mattiadl,233,614.5,13.083333333333334
kimmophoto,Creators & Celebrities,627,2084,False,False,0,http://www.facebook.com/kimmophoto,232,34.166666666666664,1.25
linjoweikitt,General Interest,2351,708,False,False,3,http://www.filmages.com/,1753,376.0833333333333,19.333333333333332
danielmercadante,Creators & Celebrities,57905,2058,True,False,6,http://danielmercadante.com/,1234,2931.4166666666665,35.583333333333336
h.art.photos,,36,34,False,False,0,http://h-art.photos/,25,7.0,0.75
olympuspassion,Non-Profits & Religious Organizations,958,93,False,False,2,http://bit.ly/OlympusPassion21,93,124.83333333333333,4.166666666666667
eddie.travels,Creators & Celebrities,3799,896,False,False,10,,245,341.25,8.916666666666666
photo_woonz,General Interest,518,669,False,False,0,http://www.bedenehapsedilenruhlar.tumblr.com/,54,594.1666666666666,4.083333333333333
brainstormbabe,Personal Goods & General Merchandise Stores,440,2868,False,False,0,,16,162.33333333333334,9.416666666666666
frdvsl,Creators & Celebrities,85,320,False,False,0,,14,79.75,5.666666666666667
pratik_meher,Creators & Celebrities,711,2693,False,False,8,https://evolabs.in/,448,105.5,2.25
howardconnellyphotography,,655,821,False,False,0,,248,210.08333333333334,23.166666666666668
elise.win,,357,516,False,True,0,,160,0,0
sun_hands__,General Interest,107,538,False,False,0,,21,19.5,0.5833333333333334
millionaire_fashion_style,Food & Personal Goods,488,3213,False,False,4,https://play.google.com/store/apps/details?id=com.madcell.halloweenjump,64,12.416666666666666,0.08333333333333333
shot_of_sin,,337,759,False,False,0,,324,35.0,1.25
shoe_stock_shop,Business & Utility Services,746,2713,False,False,1,,9,64.33333333333333,7.555555555555555
its_cherlyn,,705,696,False,True,0,https://youtu.be/o-7_kMlYyiY,5,0,0
picture_top36,Creators & Celebrities,895,1850,False,False,1,,45,69.33333333333333,1.25
xcoraln,,330,548,False,True,0,,11,0,0
barry.travel.k15,,699,7013,False,False,0,,352,85.58333333333333,4.5
jorry_lujan,Creators & Celebrities,1340,1814,False,False,4,https://youtu.be/FLNiBXsRPJc,81,39.666666666666664,2.75
kimmuhd,General Interest,822,687,False,False,4,,224,104.83333333333333,5.5
tretylishni,,146,210,False,False,0,,93,47.833333333333336,0.5
benthusiasm_,,593,867,False,True,0,,46,0,0
tritonez,,19,259,False,True,0,,9,0,0
relatxve,,206,238,False,False,0,http://500px.com/macdami,40,37.0,1.3333333333333333
azreee,,375,812,False,False,0,,132,70.33333333333333,2.5833333333333335
pakronaa,,199,590,False,False,0,https://500px.com/aaronfull,607,65.58333333333333,2.9166666666666665
swifty_jonez,Creators & Celebrities,816,7506,False,False,4,http://www.davidvannorden.com/,157,31.833333333333332,0.8333333333333334
st.matsagos,General Interest,1054,4518,False,False,1,http://matsagosstelios.wixsite.com/photography,491,89.83333333333333,2.3333333333333335
y_n21,,2125,2198,False,False,1,http://mdsufiyan.vsco.co/,602,177.75,5.916666666666667
betweenoranges,,309,601,False,False,0,http://twitter.com/betweenoranges,228,55.0,3.5833333333333335
photocopy_sthlm,Creators & Celebrities,76,426,False,False,0,,53,47.666666666666664,2.6666666666666665
miciah_kramer,,715,6638,False,False,0,http://mkphotoco.com/,505,25.583333333333332,0.9166666666666666
_iso_photographs,Creators & Celebrities,124,185,False,False,0,,84,17.333333333333332,0.5
uhm_vivianna,,167,481,False,True,0,,15,0,0
kidsplanetary,Personal Goods & General Merchandise Stores,1393,4198,False,False,0,http://www.kidsplanetary.com/,25,68.25,2.1666666666666665
tanyagrudko,Creators & Celebrities,324,439,False,False,0,,933,35.166666666666664,3.5
simavilla_fotos,,148,183,False,False,2,http://mariasimavilla.com/,123,25.416666666666668,1.9166666666666667
d.alleyn.photography,Creators & Celebrities,192,602,False,False,0,,52,39.75,2.9166666666666665
rabbitmeritz,,393,2006,False,False,0,,486,41.083333333333336,1.9166666666666667
onroadfel,,123,160,False,False,0,,268,36.833333333333336,1.9166666666666667
gilles_cuvelier,,202,1345,False,False,0,http://www.gillescuvelier.com/,53,56.666666666666664,4.083333333333333
santi_velasquezl_ph,,223,247,False,False,1,,144,34.583333333333336,1.4166666666666667
fabienengland,,491,1180,False,False,0,,266,54.833333333333336,2.75
_.hannah_fp._,,46,139,False,False,0,,18,8.416666666666666,1.75
nyiko.optical,General Interest,955,433,False,False,1,,13,106.0,3.4166666666666665
pablo.nocera,,94,148,False,True,0,,0,0,0
phumthiti,Creators & Celebrities,942,1464,False,False,0,,137,140.16666666666666,4.333333333333333
steve.mallett,,182,264,False,False,0,http://stevemallett.photos/,177,41.833333333333336,3.0
omar_ahmedl,,769,621,False,True,0,,183,0,0
kng13_,Creators & Celebrities,514,527,False,False,5,https://youtu.be/JUgGP5MHQNs,210,37.916666666666664,2.5833333333333335
jab_kali,,205,988,False,False,1,https://youtu.be/5iJXcg6aaL0,68,21.75,0.75
marcin_m.d,Creators & Celebrities,2843,1627,False,False,1,https://www.facebook.com/simplephtoto/,2106,197.83333333333334,3.1666666666666665
briankennethkondas,Personal Goods & General Merchandise Stores,875,4271,False,False,0,http://amazingphotography.net/,994,24.666666666666668,1.5
kateland.photography,Creators & Celebrities,42,28,False,False,0,,16,14.166666666666666,0.4166666666666667
chad_888,,1412,7373,False,False,0,,5709,27.666666666666668,1.5833333333333333
lamtszfungg,,460,1002,False,False,4,,190,35.333333333333336,1.3333333333333333
samuelfraserphoto,General Interest,197,2193,False,False,0,,54,80.58333333333333,3.75
samsonhuang,Creators & Celebrities,1260,798,False,False,11,,770,81.33333333333333,4.083333333333333
